Description de la table : 'Compte rendu structuré ACP « ORL »'

Requete SQL :
select count(*), HISTO, P, T, N, M from ANA141 group by HISTO, P, T, N, M order by T, N, M


COUNT(*);HISTO;P;T;N;M
8;NULL;NULL;NULL;NULL;NULL
1;7820;NULL;NULL;NULL;NULL
1;E5S2;NULL;NULL;NULL;NULL
1;E5T0;NULL;NULL;NULL;NULL
1;E6T0;NULL;NULL;NULL;NULL
14;E7T0;NULL;NULL;NULL;NULL
6;E7T2;NULL;NULL;NULL;NULL
1;E7T2;1;NULL;NULL;NULL
3;E7T3;NULL;NULL;NULL;NULL
3;E7T4;NULL;NULL;NULL;NULL
1;E8T0;NULL;NULL;NULL;NULL
2;E8T2;NULL;NULL;NULL;NULL
2;EMT0;NULL;NULL;NULL;NULL
1;MMA0;NULL;NULL;NULL;NULL
1;X7E9;NULL;NULL;NULL;NULL
1;NULL;2;NULL;1;NULL
1;EMT0;1;NULL;3;NULL
1;0020;2;1;3;3
1;E7T0;1;3;1;1
2;E7T0;1;3;1;3
1;E7T0;2;3;1;3
1;E7T0;1;3;1;4
1;E7T2;1;3;1;4
1;E7T4;1;3;1;4
1;E7T3;1;3;2;3
1;E7T0;1;3;2;4
1;E7T4;2;3;3;4
1;E7T0;1;3;4;3
1;E7T3;1;4;NULL;NULL
1;A7V4;1;4;1;3
2;E7T0;1;4;1;3
1;E7T4;1;4;1;3
1;E7T0;1;4;1;4
1;E7T3;1;4;1;4
1;E7T3;2;4;1;4
2;E7T0;1;4;2;3
1;E7T4;1;4;2;4
1;E7T0;1;4;3;4
1;E7T2;1;5;1;4
1;E7T3;1;6;3;4
1;E7T3;1;7;1;3
1;E7T1;2;7;2;3
1;E7T2;1;7;3;4
1;E7T1;1;8;2;4
