Description de la table : "Compte rendu structuré ACP « Sarcome »"

Requête SQL 
select count(*), HISTO from ANA144 group by HISTO order by HISTO

COUNT(*);HISTO
9128;NULL
319;61
415;62
194;63
27;64
33;66
34;67
1;68
239;69
63;70
15;71
362;73
168;74
24;75
15;76
95;77
6;78
27;79
21;80
15;81
80;82
32;84
132;85
49;86
17;88
33;89
20;90
35;91
21;92
188;93
112;94
30;95
6;96
16;97
44;98
20;99
18;100
18;102
30;103
8;104
50;105
488;106
6;107
2;108
3;109
112;110
6;111
213;112
3;113
5;115
43;116
268;117
10;118
25;119
2;120
7;121
1;122
1;123
15;126
14;127
1105;128
21;130
28;131
1;133
17;134
3;135
116;136
26;137
130;138
30;139
22;141
6;142
20;143
4;144
3;146
7;147
1;148
5;149
13;150
8;151
2;152
75;153
123;154
19;155
23;156
11;159
11;160
1;161
77;162
232;163
15;164
5;165
4;166
80;167
3;168
12;169
11;170
3;171
21;173
2;174
135;175
2;176
10;177
5;178
129;181
31;182
247;184
132;185
8;186
9;187
42;188
45;189
24;190
4;191
23;192
1;193
2;194
94;195
2;196
7;197
22;198
73;199
16;200
6;201
1;202
2;203
1;204
1;205
3;206
23;208
1;210
4;215
240;218
29;220
4;221
16;222
2;223
2;224
22;227
87;228
2;229
2;231
1;233
3;234
8;236
3;237
2;241
1;242
1;245
1;250
11;256
4;257
26;258
5;259
10;260
51;261
16;262
4;263
25;265
7;266
1;270
15;271
3;272
21;273
1;274
8;275
1;277
7;278
